# Lijst van alle warps op 11 oktober 2021
____Davids Shop____	-12624.742 84 11785.187
Mesa_Town	1788.554 88 6086.569
Midusa	-1155.351 71 2200.577
Mine	4993.554 10 -1696.521
Minigames	-2154.529 150 2586.726
Mobfarm	2239.689 38 -356.47
Mobfarmpie	779.93 107 -981.969
Musea	3526.292 63 3653.694
Netherplanten	2235.396 38 -377.004
New_Orleans	-5692.623 66 -5603.245
Nieuw-Berlijn(stad)	-6588.498 75.5 -7094.684
Nog geen outlawproject	2223.757 69 7427.887
Onelittle	-679.316 49 -13685.863
Paarden_race_baan	-4406.907 70 -1097.293
Parijs	3481.002 69 -3064.017
Pigman	2261.251 38 -361.098
Pokemon	-109.199 65 -3944.286
Potion Brewer	6009.101 68 -3986.807
Potions	-6160.587 73 -5071.75
Pretpark	-567.707 63 -4885.431
PrismaPalace	3718.163 64 1895.7
Project Alec	-687.526 68.93750 -13669.727
PurpleGang	2594.136 11 2715.421
QR-Code_:-)_	-11060.724 64 -12127.984
Rail	-3667.073 64 -6528.307
Rails	-3667.073 64 -6528.307
Randosia_pray2win__caviasas	-437.19 71 -1404.052
RCEWolf	3411.271 68 2510.752
RuilMachine	6026.275 70.24341 -3965.791
Schietbaan	-566.27 63 -4875.135
Shop	-2311.175 33 1836.576
Shops	-6163.556 72 -5074.617
Silence	-4980.549 63 8553.764
Sjoerd	-5809.867 63 -6932.98
Slime	-2314.681 33 1836.509
SloopBedrijf	6028.486 69 -3949.648
Spawner_Room	30.247 50 -2915.133
Spawners	3051.32 44 3395.102
sponge heb jij coral vissen voor me	-3558.237 61.70177 -870.517
Spoor	-3655.377 64 -6552.521
Sqthers Shop	3665.451 69 -5770.895
stad	-8984.856 66.0625 9251.56
StrangerMuseum	5626.434 68.6875 7750.425
String	2252.511 6 -337.478
Sugarcane	2234.663 38 -382.148
Supersmelter	1741.629 70 -2691.8
SurvivalHub	2998.54 67 3327.521
This is weirddd	462.565 72 3392.871
Toon Fabrics	1722.225 64 -1825.519
Toon Fabrics Chrashed Truck	-2139.4 63 3051.407
Townhall	-8479.437 72 -8157.336
TreeFarm(XL)	7008.428 101 854.027
trouw	-8840.259 64.0625 9191.983
UpHouse	5383.876 136 -4067.774
VillagerCraftTown	2173.199 68 1654.3
Vissen	-285.123 66 2466.889
VoteShop	-6193.498 69 -5092.349
vuurtoren	-3885.478 86 -33.356
Winkel	-2087.648 68 2665.684
Winkelcentrum	-559.450 62.9375 -4924.952
Winkels	-6218.828 69 -5071.832
Wolfs grote snoepwinkel	2098.794 82 -2763.295
Xp_Bird	-5948.304 61 -3059.803
XP_farm	2870.585 30 1731.876
XP_SUPER	-3353.108 25 1822.731
xWoffel	4075.455 11 -5697.536
Zand_Dorp	-4296.963 64 1805.127
